Player,Team,Season,Class,Year out of HS,Year Played,Games Played,Fantasy Points,Points per Game,Draft Pick Overall
Drew Pyne,Arizona State,2021,2024,2,2,2,14.4,7.2,NA
Jack Tuttle,Michigan,2021,2024,4,3,6,14.3,2.4,NA
Malik Zaire,Florida,2017,2018,5,5,4,13.9,3.5,NA
Drake Maye,North Carolina,2021,2024,1,1,2,13.8,6.9,NA
Drew Barker,Kentucky,2016,2018,3,3,3,13.1,4.4,NA
Jack Tuttle,Michigan,2023,2024,6,5,5,12.7,2.5,NA
Garrett Nussmeier,LSU,2021,2024,1,1,4,12.6,3.1,NA
Carson Beck,Georgia,2021,2024,2,2,3,12.5,4.2,NA
Malik Zaire,Florida,2016,2018,4,4,8,12.3,1.5,NA
Chandler Morris,TCU,2022,2024,3,3,3,12.2,4.1,NA
Kyle McCord,Ohio State,2022,2024,2,2,7,12,1.7,NA
Justin Rogers,UNLV,2020,2022,3,2,2,11.5,5.8,NA
Miller Moss,USC,2022,2024,2,2,3,11.3,3.8,NA
Evan Crower,Stanford,2014,2015,4,4,5,11.3,2.3,NA
Kaidon Salter,Liberty,2021,2024,1,1,2,10.9,5.4,NA
Dylan Morris,Washington,2022,2024,4,4,4,10.6,2.6,NA
Dylan Morris,Washington,2023,2024,5,5,4,10.5,2.6,NA
Ty Thompson,Oregon,2021,2024,1,1,3,10.5,3.5,NA
Tyler Buchner,Alabama,2023,2024,3,3,2,10.4,5.2,NA
Jarrett Guarantano,Washington State,2021,2022,6,5,2,9.6,4.8,NA
Zach Calzada,Incarnate Word,2019,2024,1,1,3,9.3,3.1,NA
Evan Crower,Stanford,2013,2015,3,3,3,9.3,3.1,NA
Haynes King,Georgia Tech,2020,2024,1,1,2,8.7,4.3,NA
Jack Tuttle,Michigan,2022,2024,5,4,1,8.1,8.1,NA
Jack Sears,Boise State,2021,2022,5,4,4,7.9,2,NA
Taulia Tagovailoa,Maryland,2019,2024,1,1,3,7.8,2.6,NA
Ryan Hilinski,Northwestern,2023,2024,5,5,2,7.7,3.9,NA
Deondre Francois,Hampton,2017,2020,3,3,1,7.5,7.5,NA
Harrison Bailey,Louisville,2021,2024,2,2,1,7.4,7.4,NA
Jarren Williams,Alabama A&M,2018,2023,1,1,1,6.9,6.9,NA
Myles Brennan,LSU,2017,2022,1,1,6,6.7,1.1,NA
Austin Appleby,Florida,2013,2017,2,2,1,6.7,6.7,NA
Luke Del Rio,Florida,2017,2018,4,4,2,6.6,3.3,NA
Kendal Thompson,Utah,2013,2016,3,3,2,6.6,3.3,NA
Cade McNamara,Iowa,2022,2024,4,4,3,6.2,2.1,NA
Harrison Bailey,Louisville,2023,2024,4,4,1,6,6,NA
Paul Tyson,Clemson,2021,2024,3,3,5,6,1.2,NA
Paul Tyson,Clemson,2023,2024,5,5,2,5.7,2.8,NA
Luke Del Rio,Florida,2014,2018,1,1,3,5.6,1.9,NA
Cammon Cooper,Hawai'i,2020,2023,3,2,2,5,2.5,NA
Bart Houston,Wisconsin,2014,2017,3,3,6,5,0.8,NA
